PersonId,MetricDate,Collaboration_hours,Copilot_actions_taken_in_Teams,Meeting_and_call_hours,Internal_network_size,Email_hours,Channel_message_posts,Conflicting_meeting_hours,Large_and_long_meeting_hours,External_collaboration_hours,Active_connected_hours,Meetings,After_hours_collaboration_hours,Call_hours,Calls,Channel_message_hours,Chat_hours,Collaboration_span,Emails_read,Emails_sent,External_network_size,Meeting_and_call_hours_with_manager,Meeting_and_call_hours_with_manager_1_1,Meeting_and_call_hours_with_skip_level,Meeting_hours,Multitasking_hours,Network_outside_company,Network_outside_organisation,Time_with_leadership,Unscheduled_call_hours,Weekend_collaboration_hours,Copilot_actions_taken_in_Copilot_chat__work_,Copilot_actions_taken_in_Excel,Copilot_actions_taken_in_Outlook,Copilot_actions_taken_in_Powerpoint,Copilot_actions_taken_in_Word,Days_of_active_Copilot_chat__work__usage,Days_of_active_Copilot_usage_in_Excel,Days_of_active_Copilot_usage_in_Loop,Days_of_active_Copilot_usage_in_OneNote,Days_of_active_Copilot_usage_in_Outlook,Days_of_active_Copilot_usage_in_Powerpoint,Days_of_active_Copilot_usage_in_Teams,Days_of_active_Copilot_usage_in_Word,Total_Copilot_active_days,Total_Copilot_enabled_days,Barriers_to_Execution,Change_Adaptation,Collaboration,Communication_Flow,Continuous_Improvement,eSat,Initiative,Manager_Recommend,Resources,Speak_My_Mind,Wellbeing,Work_Life_Balance,Workload,Create_Excel_formula_actions_taken_using_Copilot,Create_presentation_actions_taken_using_Copilot,Generate_email_draft_actions_taken_using_Copilot_in_Outlook,Summarise_chat_actions_taken_using_Copilot_in_Teams,Summarise_email_thread_actions_taken_using_Copilot_in_Outlook,Summarise_meeting_actions_taken_using_Copilot_in_Teams,Summarise_presentation_actions_taken_using_Copilot_in_PowerPoint,Summarise_Word_document_actions_taken_using_Copilot_in_Word,FunctionType,SupervisorIndicator,Level,LevelDesignation,Month,Week_Number,Low_Value_Meeting_Ratio,After_Hours_Ratio,Multitasking_Rate,Employee_Experience_Score,Overload_Flag,High_Load_Low_Value,LevelDesignation_Encoded,Org_Finance,Org_Hr,Org_It,Org_Legal,Org_Nan,Org_Operations,Org_Research,Org_Sales
7d99f98f-c0a6-4df9-b2c3-ec9507caf781,2024-04-28,14.1287550730288,5,6.59251083406968,63,5.61234636976659,0.926854851356342,2.58965285239193,0.0,3.10136669344143,26.6466284353797,6.0,0.787921353729543,2.28210592924153,11.8144261646289,0.246253836836474,2.81838983631038,40.0,590.0,35.0,13.0,5.07939184243831,1.72680496850871,5.28150187907474,8.27310116383035,1.41828216571976,10.0557974083392,2.57707146447445,1.13758904559508,0.177307203784192,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,Specialist,Manager,Level3,Senior Ic,2024-04,1,0.39281738287160145,0.05576721725707113,0.17143295333078118,3.0,False,False,2.0,False,False,True,False,False,False,False,False
68d86466-5864-45f1-9c15-6f13c41f6676,2024-04-28,26.0432202268928,7,17.9285410845322,132,10.7676651645609,0.219399893122196,4.602957789656,0.0,12.0131619591391,26.2993110631802,16.0,0.961929044260333,48.0882185552087,50.3232768144595,0.004088090441292,7.70476989446183,34.0,1054.0,61.0,39.0,11.5909717051345,0.6775196404056,0.897225623255361,33.9239191451283,19.1394037159961,30.2324368728206,1.08193872120207,6.69545770769266,0.474517716725375,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,Consultant,Manager,Level2,Senior Manager,2024-04,1,0.2567391160247383,0.03693587182690349,0.564186102263619,3.0,True,False,3.0,False,False,False,True,False,False,False,False
8c64bf0d-57fe-4a89-a538-de842c229c64,2024-04-28,25.729194817109,7,18.8033165507717,140,10.338308123898,0.448552186088196,5.01938664400192,1.85827223473511,10.2554574581489,25.5654901189529,24.0,13.3152272505205,18.2448204378351,25.8120401216004,0.129394175321813,4.34584027146061,33.0,975.0,56.0,42.0,8.71857746551787,1.36191438196371,0.257048410443431,20.8686421563407,1.91417794735998,4.97437532667185,5.31841938326153,3.46158405041481,2.59216466812545,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,Advisor,Manager,Level4,Junior Ic,2024-04,1,0.36576839304738323,0.5175143390677095,0.09172508364557772,3.0,False,False,1.0,False,False,False,True,False,False,False,False
3a12dcc6-c5d5-46e4-a1d2-0b9bd6e19fac,2024-04-28,13.8152219547132,4,9.35010658708947,61,5.25527978947603,1.78591401507755,1.11227566792834,1.54195590157499,4.57262983994221,16.3743865061152,11.0,4.78227524733162,2.17756407828934,5.77848595238141,0.152740448174191,0.12168937984536,33.0,482.0,24.0,16.0,1.45158298344171,0.408514822569831,20.9193211081324,8.20593925682186,0.471984327939232,9.42410740004015,0.614264405819423,1.5993567285821,1.77449508777551,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Consultant,Manager,Level1,Executive,2024-04,1,0.28387179812134605,0.41854378208950455,0.0575174045490108,2.3333333333333335,False,False,4.0,False,True,False,False,False,False,False,False
a8f3ad16-01ea-4991-8d88-02064feeb3c0,2024-04-28,16.2278836603781,5,9.04550531550427,70,5.41363995846107,1.20275725872657,1.01983683075345,0.505586108265292,4.87430913154442,20.4751936089252,14.0,7.71663353911404,4.70042319615591,39.2256347626514,0.191395613520364,0.105305082852984,36.0,526.0,25.0,20.0,9.16440486637731,0.231570260761724,1.39105556035528,3.42172164521121,10.3409247600586,2.94568533089221,1.10884418227714,0.125192871757295,2.32142672454375,2.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Technician,Manager,Level1,Executive,2024-04,1,0.16863877537102553,0.5987615971661241,3.0221408496307696,2.6666666666666665,False,False,4.0,True,False,False,False,False,False,False,False
d83e45d2-a702-4ec8-a84a-b41876a223a2,2024-04-28,25.1332973701363,5,17.8219787998028,125,9.77262113655605,0.726716699330796,3.12592381886063,1.23375097703213,9.5512027350594,32.1377045286578,23.0,5.91465589950882,4.47097133643499,15.154526965291,0.168247460346278,3.69080203747856,30.0,983.0,51.0,29.0,13.0498607028065,0.508870838134816,5.2485678431163,2.9210277099703,1.91796894788866,28.3089258260571,19.4133634711325,15.9231270428031,0.162997058044364,0.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,3.0,3.0,1.0,0.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Advisor,Manager,Level3,Senior Ic,2024-04,1,0.24462349803384345,0.23533147332019747,0.6566075841533736,3.0,False,False,2.0,True,False,False,False,False,False,False,False
137926f2-3ca2-494f-8d70-95107632933e,2024-04-28,10.913241329532,4,4.31040557199862,54,4.21865320401424,1.17843059346348,2.20830316661249,0.380296918362843,3.71135207331325,17.9993867411702,6.0,0.0396266949588148,0.872189441593633,2.67040464871941,0.009915671156277,0.0853534854539756,36.0,407.0,13.0,15.0,1.82108379816035,0.573598021262562,0.668031312939741,1.55216124427327,0.811653902294661,3.44026569873492,8.72127212831319,0.33552170457927,0.469858294776286,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,Specialist,Ic,Level4,Junior Ic,2024-04,1,0.6005467563867936,0.0036310655800840925,0.5229185468257723,3.0,False,False,1.0,True,False,False,False,False,False,False,False
29f24721-5f90-4219-a628-7936e88a82ec,2024-04-28,24.6841665376786,3,17.1303507611497,138,9.20648740005672,0.0,3.04003824087317,0.0,7.73664032068666,29.7304727442841,15.0,6.72595867641941,2.89886143938526,5.74048629818825,0.125784348398592,9.34939828014038,29.0,944.0,46.0,37.0,34.025023713569,0.771312591713262,0.809845969857956,3.27403885765617,1.13223946903533,23.0077933661109,9.88308150344709,0.259464642315774,0.911827425276356,1.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Advisor,Manager,Level3,Senior Ic,2024-04,1,0.17746503170079503,0.3129924870919296,0.3458234670574073,2.6666666666666665,False,False,2.0,False,False,True,False,False,False,False,False
f0dff723-68b7-4f89-98e3-c068f6f45ec1,2024-04-28,19.6349326336257,4,14.26958355407,104,8.21523078974684,0.486188858539405,3.58192505991659,0.0,6.97185886027461,21.9922055256622,11.0,8.92150058246293,0.300452276779442,19.9862211162053,0.205973834783122,0.727266511266233,28.0,812.0,35.0,29.0,12.6215703580902,1.22906889164908,4.79884420411514,1.33437290198136,0.861926685386994,5.52805280049015,13.1420016148345,0.33560476881762,0.0823711198981577,0.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,Manager,Manager,Level3,Senior Ic,2024-04,1,0.25101819169032064,0.4543687899995369,0.6459413887281071,3.0,False,False,2.0,False,True,False,False,False,False,False,False
f04fbe6e-bf02-42df-847d-a64825ab4ea8,2024-04-28,18.5246000832084,4,13.1835807842718,78,5.96953194311427,0.160591849840053,1.44408619086652,0.684684631295148,7.25306622433457,19.5249553055091,7.0,1.8131354737697,11.370285444829,2.45606857500974,0.0328630558428247,1.06235550345428,40.0,603.0,36.0,16.0,3.03058817477751,0.113307805949086,9.11576986512019,4.19776743279051,1.74221336812122,2.43322776158274,0.295556147750673,0.0285678545174676,0.657176144616185,0.0,4.0,0.0,3.0,0.0,2.0,4.0,1.0,1.0,3.0,0.0,2.0,1.0,4.0,5.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Advisor,Manager,Level1,Executive,2024-04,1,0.16147136783212357,0.09787717228039995,0.41503332331183135,3.0,False,False,4.0,False,False,True,False,False,False,False,False
